No.,Year,Prefecture,Prefecture total production(m),production change,public affair(m),public change,education(m),educ change,health and social welfare(m),social change,Received,Received change,Deduction,Deduction change,Residents Total Income(m),Income change,labornum(t),workinghour(per month),labor input (per month),labor change,Company stock(b),stock change,Deflator (2011 based)
40,24,Fukuoka,"17,917,623",-0.0139,"879,058",-0.0206,"786,114",-0.0067,"1,684,848",0.0277,"242,503,352",-0.3682,"116,082,000",-0.7972,"18,308,979",-0.0163,"1,686.60",148.8,250966.1,0.0579,21467.1,-0.0066,1.000287203
40,25,Fukuoka,"18,160,501",0.0136,"878,038",-0.0012,"767,535",-0.0236,"1,722,622",0.0224,"219,814,310",-0.0936,"149,935,000",0.2916,"18,644,144",0.0183,"1,679.50",148.4,249237.8,-0.0069,21610.5,0.0067,0.999325294
40,26,Fukuoka,"18,053,675",-0.0059,"875,621",-0.0028,"768,478",0.0012,"1,697,210",-0.0148,"566,257,900",1.5761,"508,310,000",2.3902,"18,625,157",-0.001,"1,678.10",148.8,249701.3,0.0019,21808.5,0.0092,1.021541597
40,27,Fukuoka,"18,380,696",0.0181,"877,903",0.0026,"780,670",0.0159,"1,759,139",0.0365,"5,286,871,998",8.3365,"2,841,786,000",4.5907,"18,976,173",0.0188,"1,678.10",147.9,248191,-0.006,22070.8,0.012,1.035174675
40,28,Fukuoka,"18,557,507",0.0096,"868,596",-0.0106,"776,075",-0.0059,"1,769,048",0.0056,"9,186,471,979",0.7376,"1,704,122,488",-0.4003,"19,130,834",0.0082,1659.9,149.2,247657.1,-0.0022,22246.1,0.0079,1.037184898
40,29,Fukuoka,"18,990,258",0.0233,"875,721",0.0082,"777,515",0.0019,"1,767,929",-0.0006,"15,897,746,236",0.7306,"3,051,121,835",0.7904,"19,722,124",0.0309,"1,664.40",148.1,246497.6,-0.0047,,,1.03627997
41,20,Saga,"2,775,251",,"168,938",,"133,343",,"241,519",,"68,249,506",,"5,690,000",,"2,851,550",,254.7,160,40752,,3973.2,,1.02947265
41,21,Saga,"2,612,548",-0.0586,"170,180",0.0074,"134,927",0.0119,"249,061",0.0312,"147,470,290",1.1608,"3,308,000",-0.4186,"2,686,954",-0.0577,261.9,153.5,40201.65,-0.0135,3940.7,-0.0082,1.027644277
41,22,Saga,"2,749,266",0.0523,"165,922",-0.025,"145,577",0.0789,"256,090",0.0282,"34,639,895",-0.7651,"4,024,000",0.2164,"2,830,576",0.0535,260.2,155,40331,0.0032,3906.7,-0.0086,1.013975367
41,23,Saga,"2,708,978",-0.0147,"168,630",0.0163,"149,903",0.0297,"256,709",0.0024,"109,866,281",2.1717,"62,894,000",14.6297,"2,784,765",-0.0162,257.9,152.1,39226.6,-0.0274,3816.5,-0.0231,1.00132633
41,24,Saga,"2,643,390",-0.0242,"165,066",-0.0211,"154,479",0.0305,"265,520",0.0343,"51,148,685",-0.5344,"10,308,000",-0.8361,"2,705,500",-0.0285,253.1,154.1,39002.7,-0.0057,3753.3,-0.0166,0.999106829
41,25,Saga,"2,699,463",0.0212,"158,972",-0.0369,"155,166",0.0044,"270,387",0.0183,"310,097,395",5.0627,"11,889,000",0.1534,"2,763,108",0.0213,253.4,155,39277,0.007,3742.6,-0.0028,0.996493377
41,26,Saga,"2,700,137",0.0002,"160,743",0.0111,"156,768",0.0103,"267,979",-0.0089,"1,788,359,184",4.7671,"44,329,000",2.7286,"2,766,474",0.0012,253.7,154.4,39171.3,-0.0027,3713.6,-0.0078,1.013255624
41,27,Saga,"2,798,940",0.0366,"151,565",-0.0571,"170,386",0.0869,"274,786",0.0254,"9,400,074,614",4.2563,"305,405,000",5.8895,"2,880,953",0.0414,255.8,153.6,39290.9,0.0031,3707.2,-0.0017,1.027905564
41,28,Saga,"2,792,407",-0.0023,"151,770",0.0014,"167,944",-0.0143,"277,116",0.0085,"17,237,874,815",0.8338,"177,343,141",-0.4193,"2,858,928",-0.0076,256.8,153.7,39470.2,0.0046,3740.6,0.009,1.030484453
41,29,Saga,"2,858,800",0.0238,"151,343",-0.0028,"168,831",0.0053,"275,241",-0.0068,"30,620,903,974",0.7764,"289,425,038",0.632,"2,931,475",0.0254,253.8,153.6,38983.7,-0.0123,,,1.030230167
42,20,Nagasaki,"4,152,246",,"307,219",,"287,210",,"464,804",,"46,686,648",,"6,949,000",,"4,265,179",,376.3,159.9,60170.37,,5626,,1.029437803
42,21,Nagasaki,"4,161,722",0.0023,"309,406",0.0071,"291,141",0.0137,"472,764",0.0171,"78,416,787",0.6796,"5,366,000",-0.2278,"4,283,332",0.0043,410.9,160.6,65990.54,0.0967,5525.7,-0.0178,1.024806078
